metric,value
test,phase17
accepted,20
rs_allocs,20
rs_full_stalls,1
ready_observed,32
issued,20
ooo_issue_events,3
broadcasts,25
wakeups,7
stale_tag_ignored,2
completed,20
unsupported,1
thread0_accepted,18
thread1_accepted,2
thread0_issued,18
thread1_issued,2
thread0_completed,18
thread1_completed,2
checks,52
errors,0
pass,PASS
