metric,value
test,phase19_lsq
memory_uops,12
loads,5
stores,7
lsq_full_stalls,1
addr_waits,1
store_addr_waits,4
store_data_waits,2
load_store_order_stalls,8
conservative_order_stalls,8
load_execs,5
load_completions,5
store_commits,7
store_completions,7
rob_commits,16
rob_commit_stalls,43
alu_completes,4
stale_tag_ignored,5
x0_commit_suppressed,1
unsupported,1
checks,52
errors,0
pass,PASS
