cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,wb_we,wb_rd,wb_wdata,stall,flush,redirect,redirect_target
40,1,0x000000a0,0x00001517,1,0x0000009c,0x00000013,1,0x00000098,0x00000013,1,0x00000094,0x00000013,1,0x00000090,0x123454b7,1,9,0x12345000,0,0,0,0x0000009c
41,1,0x000000a4,0x00000013,1,0x000000a0,0x00001517,1,0x0000009c,0x00000013,1,0x00000098,0x00000013,1,0x00000094,0x00000013,1,0,0x00000000,0,0,0,0x000000a0
42,1,0x000000a8,0x00000013,1,0x000000a4,0x00000013,1,0x000000a0,0x00001517,1,0x0000009c,0x00000013,1,0x00000098,0x00000013,1,0,0x00000000,0,0,0,0x000000a4
43,1,0x000000ac,0x00000013,1,0x000000a8,0x00000013,1,0x000000a4,0x00000013,1,0x000000a0,0x00001517,1,0x0000009c,0x00000013,1,0,0x00000000,0,0,0,0x000000a8
44,1,0x000000b0,0x00340663,1,0x000000ac,0x00000013,1,0x000000a8,0x00000013,1,0x000000a4,0x00000013,1,0x000000a0,0x00001517,1,10,0x000010a0,0,0,0,0x000000ac
45,1,0x000000b4,0x00100593,1,0x000000b0,0x00340663,1,0x000000ac,0x00000013,1,0x000000a8,0x00000013,1,0x000000a4,0x00000013,1,0,0x00000000,0,0,0,0x000000b0
46,1,0x000000b8,0x00200613,1,0x000000b4,0x00100593,1,0x000000b0,0x00340663,1,0x000000ac,0x00000013,1,0x000000a8,0x00000013,1,0,0x00000000,0,1,1,0x000000bc
47,1,0x000000bc,0x00300593,0,0x000000b8,0x00000013,0,0x000000b4,0x00100593,1,0x000000b0,0x00340663,1,0x000000ac,0x00000013,1,0,0x00000000,0,0,0,0x000000b8
48,1,0x000000c0,0x00000013,1,0x000000bc,0x00300593,0,0x000000b8,0x00000013,0,0x000000b4,0x00100593,1,0x000000b0,0x00340663,0,12,0x0000003c,0,0,0,0x000000bc
49,1,0x000000c4,0x00000013,1,0x000000c0,0x00000013,1,0x000000bc,0x00300593,0,0x000000b8,0x00000013,0,0x000000b4,0x00100593,0,11,0x00000001,0,0,0,0x000000c0
50,1,0x000000c8,0x00000013,1,0x000000c4,0x00000013,1,0x000000c0,0x00000013,1,0x000000bc,0x00300593,0,0x000000b8,0x00000013,0,0,0x00000000,0,0,0,0x000000c4
51,1,0x000000cc,0x00209663,1,0x000000c8,0x00000013,1,0x000000c4,0x00000013,1,0x000000c0,0x00000013,1,0x000000bc,0x00300593,1,11,0x00000003,0,0,0,0x000000c8
52,1,0x000000d0,0x00400613,1,0x000000cc,0x00209663,1,0x000000c8,0x00000013,1,0x000000c4,0x00000013,1,0x000000c0,0x00000013,1,0,0x00000000,0,0,0,0x000000cc
53,1,0x000000d4,0x00500693,1,0x000000d0,0x00400613,1,0x000000cc,0x00209663,1,0x000000c8,0x00000013,1,0x000000c4,0x00000013,1,0,0x00000000,0,1,1,0x000000d8
54,1,0x000000d8,0x00600613,0,0x000000d4,0x00000013,0,0x000000d0,0x00400613,1,0x000000cc,0x00209663,1,0x000000c8,0x00000013,1,0,0x00000000,0,0,0,0x000000d4
